Article,Current Form,Proposals by Political Parties,Political Party,Rationale,Proposal Type,Joint,Partner,Contributor,Commission’s Proposals,Part
শুরু,"[বিসমিল্লাহির - রহমানির রহিম (দয়াময়, পরম দয়ালু, আল্লাহের নামে)/ পরম করুণাময় সৃষ্টিকর্তার নামে।",১৯৭২ সালের মূল সংবিধানমতে কোন কিছু না লিখা,বাংলাদেশের জাতীয় সমাজতান্ত্রিক দল (বাংলাদেশ জাসদ),,Amendment,No,,Nazmul,"কমিশন সুপারিশ করছে যে, সংবিধানের প্রস্তাবনার শুরুতে 'বিসমিল্লাহির রাহমানির রাহিম'/আল্লাহর নামে, যিনি পরম করুণাময়, অসীম দয়ালু' অন্তর্ভুক্ত করা হোক।",শুরু
শুরু,,পঞ্চদশ সংশোধনীর মাধ্যমে বিসমিল্লাহির রহমানির রহিম এর বাংলা অনুবাদ এর পাশাপাশি একটি অতিরিক্ত বাংলা পাঠ (পরম করুনাময় সৃষ্টিকর্তার নামে) সংযোজিত হয়েছে। - - - সংযোজিত অতিরিক্ত বাংলা পাঠ অপরিবর্তিত রাখা যেতে পারে।,বাংলাদেশ জাতীয়তাবাদী দল (বিএনপি),,Amendment,Yes,রাষ্ট্র সংস্কার আন্দোলন,Nazmul,,শুরু
শুরু,,পঞ্চদশ সংশোধনীর মাধ্যমে বিসমিল্লাহির রহমানির রহিম এর বাংলা অনুবাদ এর পাশাপাশি একটি অতিরিক্ত বাংলা পাঠ (পরম করুনাময় সৃষ্টিকর্তার নামে) সংযোজিত হয়েছে। - - - সংযোজিত অতিরিক্ত বাংলা পাঠ অপরিবর্তিত রাখা যেতে পারে।,রাষ্ট্র সংস্কার আন্দোলন,,Amendment,Yes,বিএনপি,Nazmul,,শুরু
শুরু,,সংবিধানে “বিসমিল্লাহির রাহমানির রাহিম” এর অর্থ “পরম করুনাময় আল্লাহর নামে আরম্ভ করছি” সংযোজন করতে হবে।,বাংলাদেশ লেবার পার্টি,,Amendment,No,,Nazmul,,শুরু
প্রস্তাবনা (Preamble)'র সূচনা,"আমরা, বাংলাদেশের জনগণ, ১৯৭১ খ্রীষ্টাব্দের মার্চ মাসের ২৬ তারিখে স্বাধীনতা ঘোষণা করিয়া ২ [জাতীয় মুক্তির জন্য ঐতিহাসিক সংগ্রামের] মাধ্যমে স্বাধীন ও সার্বভৌম গণপ্রজাতন্ত্রী বাংলাদেশ প্রতিষ্ঠিত করিয়াছি; ৩ [আমরা অঙ্গীকার করিতেছি যে, যে সকল মহান আদর্শ আমাদের বীর জনগণকে জাতীয় মুক্তি সংগ্রামে আত্মনিয়োগ ও বীর শহীদদিগকে প্রাণোৎসর্গ করিতে উদ্বুদ্ধ করিয়াছিল - জাতীয়তাবাদ, সমাজতন্ত্র, গণতন্ত্র ও ধর্মনিরপেক্ষতার সেই সকল আদর্শ এই সংবিধানের মূলনীতি হইবে ;] আমরা আরও অঙ্গীকার করিতেছি যে, আমাদের রাষ্ট্রের অন্যতম মূল লক্ষ্য হইবে গণতান্ত্রিক পদ্ধতিতে এমন এক শোষণমুক্ত সমাজতান্ত্রিক সমাজের প্রতিষ্ঠা - যেখানে সকল নাগরিকের জন্য আইনের শাসন, মৌলিক মানবাধিকার এবং রাজনৈতিক, অর্থনৈতিক ও সামাজিক সাম্য, স্বাধীনতা ও সুবিচার নিশ্চিত হইবে; আমরা দৃঢ়ভাবে ঘোষণা করিতেছি যে, আমরা যাহাতে স্বাধীন সত্তায় সমৃদ্ধি লাভ করিতে পারি এবং মানবজাতির প্রগতিশীল আশা - আকাঙ্খার সহিত সঙ্গতি রক্ষা করিয়া আন্তর্জাতিক শান্তি ও সহযোগিতার ক্ষেত্রে পূর্ণ ভূমিকা পালন করিতে পারি, সেইজন্য বাংলাদেশের জনগণের অভিপ্রায়ের অভিব্যক্তিস্বরূপ এই সংবিধানের প্রাধান্য অক্ষুণ্ণ রাখা এবং ইহার রক্ষণ, সমর্থন ও নিরাপত্তাবিধান আমাদের পবিত্র কর্তব্য; এতদ্বারা আমাদের এই গণপরিষদে, অদ্য তের শত ঊনআশী বঙ্গাব্দের কার্তিক মাসের আঠারো তারিখ, মোতাবেক ঊনিশ শত বাহাত্তর খ্রীষ্টাব্দের নভেম্বর মাসের চার তারিখে, আমরা এই সংবিধান রচনা ও বিধিবদ্ধ করিয়া সমবেতভাবে গ্রহণ করিলাম।",সংবিধান গ্রন্থের সূচনায় “উপক্রমণিকা”টি সম্পূর্ণরূপে বাদ দিতে হবে।,১২ দলীয় জোট,,Amendment,No,,Nazmul,"কমিশন সুপারিশ করছে যে, বাংলাদেশের সংবিধানের প্রস্তাবনায় মুক্তির লক্ষ্যে এই ভূখণ্ডের মানুষের দীর্ঘ সংগ্রামের ধারাবাহিকতাকে প্রতিফলিত করতে হবে। একইসাথে ২০২৪ সালের জুলাই - আগস্টে ছাত্র জনতার অভুত্থানের প্রতিফলন ও স্বীকৃতি অবশ্যই প্রস্তাবনায় থাকা প্রয়োজন। পাশাপাশি কমিশন সুপারিশ করছে যে, সংবিধানের মূলনীতি হিসেবে বহুত্ববাদ গ্রহণ করা হোক। “আমরা, বাংলাদেশের জনগণ, যারা এই ভূখণ্ডের মানুষের মুক্তির লক্ষ্যে ঐতিহাসিক সংগ্রামের ধারাবাহিকতায় জনযুদ্ধের মাধ্যমে স্বাধীনতা অর্জন করেছি এবং গণতন্ত্র প্রতিষ্ঠায় স্বৈরাচারী ও ফ্যাসিবাদী শাসনের বিরুদ্ধে ঐক্যবদ্ধ প্রতিরোধ গড়ে তুলেছি; আমরা সকল শহীদের প্রাণোৎসর্গকে পরম শ্রদ্ধার সাথে স্মরণ করে অঙ্গীকার করছি যে, সাম্য, মানবিক মর্যাদা ও সামাজিক সুবিচারের যে আদর্শ বাংলাদেশের মানুষকে ১৯৭১ সালে স্বাধীনতা যুদ্ধে এবং গণতন্ত্র ও বৈষম্যহীনতার যে আদর্শ ২০২৪ সালে ফ্যাসিবাদী শাসনের বিরুদ্ধে একতাবদ্ধ করেছিল, সেই সকল মহান আদর্শ রাষ্ট্র ও সমাজে প্রতিষ্ঠার লক্ষ্যে; আমরা জনগণের সার্বভৌম অধিকার প্রয়োগের মাধ্যমে সাম্য, মানবিক মর্যাদা, সামাজিক সুবিচার ও গণতন্ত্রকে সংবিধানের মূলনীতি হিসেবে গ্রহণ করে জনগণের জন্য একটি সংবিধান রচনা ও বিধিবদ্ধ করছি, যে সংবিধান বাংলাদেশের জনগণের সর্বোচ্চ আকাঙ্ক্ষার বহিঃপ্রকাশ এবং যে সংবিধান স্বাধীন সত্তায় যৌথ জাতীয় বিকাশ সুনিশ্চিত করবে এবং বর্তমান ও ভবিষ্যত প্রজন্মের অধিকার সংরক্ষণ করবে; আমরা দৃঢ়ভাবে ঘোষণা করছি যে, এই সংবিধান প্রতিটি নাগরিককে পরস্পরের প্রতি অধিকার, কর্তব্য ও জবাবদিহিতার চেতনায় সংঘবদ্ধ করবে, সর্বদা রাষ্ট্র পরিচালনায় জনপ্রতিনিধিত্ব নিশ্চিত করবে, আন্তর্জাতিক শান্তি ও সহযোগিতার নীতিকে অনুসরণ করবে এবং রাষ্ট্রীয় সার্বভৌমত্ব সমুন্নত রাখবে; জনগণের সম্মতি নিয়ে আমরা এই সংবিধান জনগণতন্ত্রী বাংলাদেশের সংবিধান হিসেবে গ্রহণ করছি।”",প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,প্রস্তাবনায় জুলাই বিপ্লবের স্বীকৃতি থাকতে হবে।,বাংলাদেশ জামায়াতে ইসলামী,,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"আমরা, বাংলাদেশের জনগণ, ১৯৭১ খ্রীষ্টাব্দের মার্চ মাসের ২৬ তারিখে স্বাধীনতা ঘোষণা করিয়া [জাতীয় মুক্তির জন্য ঐতিহাসিক সংগ্রামের] মাধ্যমে স্বাধীন ও সার্বভৌম গণপ্রজাতন্ত্রী বাংলাদেশ প্রতিষ্ঠিত করিয়াছি; পঞ্চদশ সংশোধনীর মাধ্যমে আনীত উক্ত পরিবর্তন বাতিল করতে হবে। এবং পঞ্চদশ সংশোধনী পূর্ব অবস্থায় বহাল করতে হবে।",বাংলাদেশ জাতীয়তাবাদী দল (বিএনপি),,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"[আমরা অঙ্গীকার করিতেছি যে, যে সকল মহান আদর্শ আমাদের বীর জনগণকে (জাতীয় মুক্তি সংগ্রামে) আত্মনিয়োগ ও বীর শহীদদিগকে প্রাণোৎসর্গ করিতে উদ্বুদ্ধ করিয়াছিল - (জাতীয়তাবাদ, সমাজতন্ত্র, গণতন্ত্র ও ধর্মনিরপেক্ষতার) সেই সকল আদর্শ এই সংবিধানের মূলনীতি হইবে] - পঞ্চদশ সংশোধনীর মাধ্যমে আনীত উক্ত পরিবর্তন বাতিল করতে হবে। এবং পঞ্চদশ সংশোধনী পূর্ব অবস্থায় বহাল করতে হবে।",বাংলাদেশ জাতীয়তাবাদী দল (বিএনপি),,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,১৯৭১ সালের বাংলাদেশের স্বাধীনতা যুদ্ধের ঘোষণাপত্র এবং দীর্ঘ ফ্যাসিবাদ ও স্বৈরশাসন বিরোধী লড়াই ও ২০২৪ সালের ছাত্র - শ্রমিক - জনতার গণঅভ্যুত্থানের মধ্যে প্রকাশিত জন - আকাঙ্ক্ষাই হবে গণতান্ত্রিক সংবিধানের প্রস্তাবনার ভিত্তি।,গণসংহতি আন্দোলন,,Amendment,No,,Nazmul,,প্রস্তাবনা
প্রস্তাবনা (Preamble)'র সূচনা,,"আমরা, বাংলাদেশের জনগণ, ১৯৭১ খ্রীষ্টাব্দের মার্চ মাসের ২৬ তারিখে স্বাধীনতা ঘোষণা করিয়া (জাতীয় মুক্তির জন্য ঐতিহাসিক সংগ্রামের মাধ্যমে স্বাধীন ও সার্বভৌম গণপ্রজাতন্ত্রী বাংলাদেশ প্রতিষ্ঠিত করিয়াছি;এবং ২০২৪ খ্রীষ্টাব্দের জুলাই বিপ্লবসহ অন্যান্য গণতান্ত্রিক আন্দোলনসমূহের মাধ্যমে দেশে গণতন্ত্র কায়েম রাখার সর্বাত্মক সংগ্রাম করিয়া যাইতেছি।",বাংলাদেশ জামায়াতে ইসলামী,,Amendment,No,,Nazmul,,প্রস্তাবনা
